id,Status,Collection,Item Type,Total Checkouts,Total Renewals,Call Number,BibIds
1388941,ASK STAFF,Kids Room,Books,5,0,JF Opp (paper),1131716
1388942,AVAILABLE,Kids Room,Books,15,5,JF Opp (paper),1131716
1388944,AVAILABLE,Kids Room,Books,50,20,JF Cle (paper),1290233
1388953,AVAILABLE,Kids Room,Books,19,11,JM Wrig (paper),1052049
1388955,AVAILABLE,Kids Room,Books,27,21,JF Hos (paper),1238983
1388956,AVAILABLE,Kids Room,Books,19,15,JF Hos (paper),1238983
1388957,AVAILABLE,Kids Room,Books,30,25,JF Ibb (paper),1177984
1389619,AVAILABLE,Teen Room,Y Fiction,21,15,YF Osa (paper),1198978
1389620,AVAILABLE,Teen Room,Y Fiction,21,10,YF Osa (paper),1198978
1389621,AVAILABLE,Teen Room,Y Fiction,28,12,YF Osa (paper),1198978
1389623,AVAILABLE,Teen Room,Y Fiction,8,6,YF Nai (paper),1175696
1389643,AVAILABLE,Teen Room,Y Fiction,19,20,YF Qam (paper),1271243
1389644,AVAILABLE,Teen Room,Y Fiction,24,15,YF Qam (paper),1271243
1389656,AVAILABLE,Teen Room,Y Fiction,52,31,YF Farm (paper),1185746
1389659,AVAILABLE,Teen Room,Y Fiction,10,3,YF Drap (paper),1153441
1390546,AVAILABLE,Kids Room,Books,54,22,JF Clea (paper),1017638
1390926,AVAILABLE,Kids Room,Books,11,5,JF Fraz (paper),1306267
1390928,AVAILABLE,Kids Room,Books,10,11,JF Fraz (paper),1306267
1390929,AVAILABLE,Kids Room,Books,13,13,JF Fraz (paper),1306267
1391653,OUT OF CIRC.,Kids Room,Books,10,1,BBK Seu,1013465
1392400,AVAILABLE,Kids Room,Books,23,6,JSF Ibb (paper),1198278
1392493,AVAILABLE,Kids Room,Books,66,23,EJF Osbo (paper),1188568
1392500,AVAILABLE,Kids Room,Books,35,16,JF Sci (paper),1163358
1392512,AVAILABLE,Kids Room,Books,32,18,EJF Gann (paper),1014390
1392538,AVAILABLE,Kids Room,Books,80,45,JF McD (paper),1159793
1394383,AVAILABLE,Kids Room,Books,51,30,EJF Brow (paper),1322778
1394384,AVAILABLE,Kids Room,Books,50,20,EJF Brow (paper),1322778
1394386,AVAILABLE,Kids Room,Books,46,27,EJF Brow (paper),1322846
1394387,AVAILABLE,Kids Room,Books,56,24,EJF Brow (paper),1322846
1394388,AVAILABLE,Kids Room,Books,48,18,EJF Brow (paper),1322846
1394474,AVAILABLE,Kids Room,Books,21,5,JSF MacH (paper),1202230
1394487,ON HOLDSHELF,Kids Room,Books,89,13,BBK Gonz,1254741
1394526,AVAILABLE,Kids Room,Books,93,29,JSF L'E (paper),1018320
1394533,AVAILABLE,Kids Room,Books,49,15,EJF Trin (paper),1239408
1394534,AVAILABLE,Kids Room,Books,39,19,EJF Trin (paper),1239408
1394544,AVAILABLE,Kids Room,Books,29,11,JF Sci (paper),1201012
1394545,AVAILABLE,Kids Room,Books,31,7,JF Sci (paper),1201012
1394546,AVAILABLE,Kids Room,Books,76,29,EJF Roy (paper),1321610
1394547,AVAILABLE,Kids Room,Books,71,33,EJF Roy (paper),1321610
1394548,AVAILABLE,Kids Room,Books,76,24,EJF Roy (paper),1321610
1394556,AVAILABLE,Kids Room,Books,44,6,JF Bara (paper),1310210
1394562,AVAILABLE,Kids Room,Books,80,36,EJF Osbo (paper),1142597
1394573,AVAILABLE,Kids Room,Books,39,14,EJF Appl (paper),1271884
1394574,AVAILABLE,Kids Room,Books,48,20,EJF Appl (paper),1271884
1394582,AVAILABLE,Kids Room,Books,27,11,EJF Sach (paper),1162209
1394715,AVAILABLE,Teen Room,Y Fiction,11,13,YF Turn (paper),1302962
1396516,AVAILABLE,Kids Room,Books,9,10,JM Hal (paper),1176875
1396517,AVAILABLE,Kids Room,Books,41,29,EJF Stan (paper),1167032
1396518,AVAILABLE,Kids Room,Books,32,9,EJF Stan (paper),1167032
1396874,IN MENDING,Kids Room,Books,83,24,EJF Roy (paper),1189750
1396899,AVAILABLE,Kids Room,Books,85,23,JF Holu (paper),1308183
1396903,LOST & PAID,Kids Room,Books,39,17,JF Hiaa (paper),1282404
1396912,AVAILABLE,Kids Room,Books,59,20,JF Hor (paper),1294061
1398052,AVAILABLE,Kids Room,Books,19,4,JM Berl (paper),1286245
1398386,AVAILABLE,Teen Room,Y Fiction,14,7,YF Bark (paper),1253525
1398688,AVAILABLE,Kids Room,Books,76,25,JF McM (paper),1195930
1398694,AVAILABLE,Kids Room,Books,98,31,EJF Barr (paper),1308991
1398697,AVAILABLE,Kids Room,Books,23,6,JF Myr (paper),1224074
1398698,AVAILABLE,Kids Room,Books,19,9,JF Myr (paper),1224074
1398700,AVAILABLE,Kids Room,Books,84,40,EJF Barr (paper),1291824
1398701,AVAILABLE,Kids Room,Books,79,38,JSF Buck (paper),1228098
1398702,AVAILABLE,Kids Room,Books,59,10,JSF Buck (paper),1238605
1398703,AVAILABLE,Kids Room,Books,58,25,JSF Buck (paper),1238605
1398713,AVAILABLE,Kids Room,Books,25,5,EJF Sach (paper),1104832
1398714,AVAILABLE,Kids Room,Books,37,9,EJF Sach (paper),1104832
1398720,IN MENDING,Kids Room,Books,79,23,EJF Park (paper),1132534
1398834,AVAILABLE,Kids Room,Books,57,21,BBK Sis,1150586
1398842,AVAILABLE,Kids Room,Books,35,17,JSF Eag (paper),1013900
1399031,AVAILABLE,Kids Room,Books,64,17,JF McDo (paper),1326725
1400255,AVAILABLE,Kids Room,Books,64,42,EJF Osbo (paper),1174241
1400261,LOST & PAID,Kids Room,Books,41,18,JSF Ibbo (paper),1137378
1400430,AVAILABLE,Kids Room,Books,86,37,BBK Seus,1013468
1400613,AVAILABLE,Kids Room,Books,74,31,EJF Roy (paper),1162217
1400614,AVAILABLE,Kids Room,Books,81,26,EJF Roy (paper),1162217
1401160,AVAILABLE,Adult Collection,Adult DVD 7 Day,150,68,DVD Hugo,1329343
1401414,IN MENDING,Adult Collection,Books,22,73,343.7305 Your,1035821
1401523,AVAILABLE,Kids Room,Books,72,31,EJF Park (paper),1151553
1401524,IN MENDING,Kids Room,Books,87,17,EJF Park (paper),1151553
1401538,AVAILABLE,Kids Room,Books,29,11,JF Love (paper),1021922
1401712,IN MENDING,Kids Room,Books,58,23,EJF Adde,1330455
1402007,AVAILABLE,Adult Collection,Books,61,24,917.8752 Yell,1195228
1402848,AVAILABLE,Kids Room,Books,9,5,JF Ric (paper),1218967
1402849,AVAILABLE,Kids Room,Books,3,6,JF Rich (paper),1218967
1402850,ASK STAFF,Kids Room,Books,4,4,JF Ric (paper),1218967
1402851,ASK STAFF,Kids Room,Books,2,3,JF Ric (paper),1218967
1402852,AVAILABLE,Kids Room,Books,6,4,JF Ric (paper),1218967
1402853,ASK STAFF,Kids Room,Books,3,3,JF Ric (paper),1218967
1402854,ASK STAFF,Kids Room,Books,2,3,JF Ric (paper),1218967
1402855,AVAILABLE,Kids Room,Books,7,2,JF Ric (paper),1218967
1402856,AVAILABLE,Kids Room,Books,20,15,JSF Epst (paper),1310163
1402858,AVAILABLE,Kids Room,Books,42,25,JSF Epst (paper),1310163
1402859,IN MENDING,Kids Room,Books,35,14,JSF Epst (paper),1310163
1402860,AVAILABLE,Kids Room,Books,51,25,JSF Epst (paper),1310163
1402861,AVAILABLE,Kids Room,Books,43,28,JSF Epst (paper),1310163
1402862,AVAILABLE,Kids Room,Books,25,11,JSF Epst (paper),1310163
1402863,AVAILABLE,Kids Room,Battle of the books,23,11,JSF Epst (paper),1310163
1403057,AVAILABLE,Kids Room,Books,6,8,JF Fraz (paper),1306267
1403058,AVAILABLE,Kids Room,Books,23,23,JF Fraz (paper),1306267
1403059,AVAILABLE,Kids Room,Books,24,8,JM Dow (paper),1262952
1403066,ASK STAFF,Kids Room,Books,3,3,JF Scie (paper),1306106
1403067,AVAILABLE,Kids Room,Books,33,12,JF Scie (paper),1306106
1403068,ASK STAFF,Kids Room,Books,2,0,JF Scie (paper),1306106
1403069,AVAILABLE,Kids Room,Books,32,18,JF Scie (paper),1306106
1403070,ASK STAFF,Kids Room,Books,3,0,JF Scie (paper),1306106
1403071,ASK STAFF,Kids Room,Books,1,0,JF Scie (paper),1306106
1403072,AVAILABLE,Kids Room,Books,28,7,JF Scie (paper),1306106
1403075,ASK STAFF,Kids Room,Books,2,0,JF Low (paper),1263915
1403076,AVAILABLE,Kids Room,Books,16,10,JF Low (paper),1263915
1403077,ASK STAFF,Kids Room,Books,1,1,JF Low (paper),1263915
1403078,AVAILABLE,Kids Room,Books,19,15,JF Low (paper),1263915
1403079,ASK STAFF,Kids Room,Books,2,2,JF Low (paper),1263915
1403080,LOST & PAID,Kids Room,Books,39,27,JF Kon (paper),1017886
1403081,AVAILABLE,Kids Room,Books,49,27,JF Kon (paper),1017886
1403082,AVAILABLE,Kids Room,Books,18,9,EJF Came (paper),1282097
